index,model_id,category,super-category
0,00030133-9c36-412d-bb48-6123ea2da899,Floor Lamp,Lighting
1,00033fdb-e9f8-4abe-aa9b-878761356d35,Lounge Chair / Cafe Chair / Office Chair,Chair
2,0004ae9a-1d27-4dbd-8416-879e9de1de8d,Nightstand,Cabinet/Shelf/Desk
3,0004dd3f-fcd0-4401-b143-7bdbcdc5775a,Lounge Chair / Book-chair / Computer Chair,Chair
4,00050a71-6a99-31ff-a778-4dbeddf50586,Wardrobe,Cabinet/Shelf/Desk
5,00063df5-b7d7-42af-a11c-ac8a690272fd,Pendant Lamp,Lighting
6,000ffb60-6414-41b2-80cc-e38879db8fe8,Three-Seat / Multi-seat Sofa,Sofa
7,001663c3-d459-4fbc-8563-89592fd21d18,Three-Seat / Multi-seat Sofa,Sofa
8,001dcec1-201e-446c-91d1-d349be1a42f3,Round End Table,Cabinet/Shelf/Desk
9,00221545-8e2c-4266-bb42-f08c4e8d2382,Ceiling Lamp,Lighting
10,002740ba-6fca-4258-b631-cf031c2adbdc,Dining Table,Table
11,002784db-9a83-4cdb-a842-5f141675103b,,Others
12,00289456-13dd-4742-bdbc-b22758005a2f,Three-Seat / Multi-seat Sofa,Sofa
13,002a0c8e-8a56-4b38-a6c8-75c339d48f46,Coffee Table,Cabinet/Shelf/Desk
14,002c9b8e-f05e-4ecd-8d35-0e5a4b1a0ad4,Three-Seat / Multi-seat Sofa,Sofa
15,002cd3a1-78b2-4a2e-aa01-5947dbe994f8,Lounge Chair / Cafe Chair / Office Chair,Chair
16,002ef622-24b5-418f-861a-9fab48ab9c33,Pendant Lamp,Lighting
17,00334c6e-72f8-4fb6-9e11-ab011bf6c3a7,Loveseat Sofa,Sofa
18,0033e020-460c-4990-a2d2-cfe223a2f5a0,Children Cabinet,Cabinet/Shelf/Desk
19,0034935b-20a0-45e6-b2a5-9bff89a94198,Three-Seat / Multi-seat Sofa,Sofa
20,003573d9-a6ae-4bdb-a01f-156040f08048,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
21,003873a6-59d0-4a94-afd9-129195b2644b,,Others
22,003a85cc-1a58-4b93-8b5c-11ad960aded5,armchair,Sofa
23,003b19cc-fd43-4995-9e19-1ac41f84e83e,Wardrobe,Cabinet/Shelf/Desk
24,003eea79-6ec0-4731-b5fb-acc09dc59898,King-size Bed,Bed
25,0044a119-6a8b-4ff1-8a7d-201310de42a7,Ceiling Lamp,Lighting
26,004a97c2-124f-4dd2-97da-900af7ad6ca8,armchair,Sofa
27,004cb907-b124-423f-9062-163bf992693a,Loveseat Sofa,Sofa
28,0050f47f-0d3e-46c7-8a0d-47a16b524e96,Dining Table,Table
29,00555cec-c448-4f9b-94a3-5ee009ead775,TV Stand,Cabinet/Shelf/Desk
30,00585bed-3c7b-495a-838e-ff0c35cb03e6,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
31,0058c439-768f-4553-9990-557954f0e4c3,Coffee Table,Cabinet/Shelf/Desk
32,00593873-bfa3-4cab-8efe-3528312a6257,Three-Seat / Multi-seat Sofa,Sofa
33,005bafee-92c1-41db-ac9b-dab97ef3756f,Three-Seat / Multi-seat Sofa,Sofa
34,00657f14-391a-4a85-8d2d-c94cbd1762d7,Sideboard / Side Cabinet / Console,Cabinet/Shelf/Desk
35,00661c5b-bb1e-49ca-a5c2-480dbe12a344,Nightstand,Cabinet/Shelf/Desk
36,00680be9-2ac0-4a4c-ba1a-528be9f0a15b,Coffee Table,Cabinet/Shelf/Desk
37,006a08bb-914c-49b9-93ed-4de256ae74c2,TV Stand,Cabinet/Shelf/Desk
38,006c6db0-1477-4340-9163-d08a6cf72738,Wardrobe,Cabinet/Shelf/Desk
39,006cb2b3-e9e3-34e3-9a0e-f93fa04f344b,Dining Table,Table
40,006f9cee-42d9-49ae-bd2c-b790f96a404a,Lazy Sofa,Sofa
41,00733bff-2a40-4e15-aa5e-89f3b277c9a1,TV Stand,Cabinet/Shelf/Desk
42,007498dc-954a-4ddc-b318-164b7e4dfefc,King-size Bed,Bed
43,0074c049-c0d7-46e0-835a-bcae2416b859,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
44,00754f96-5380-429c-9a20-50b67d8a51f0,armchair,Sofa
45,0075c272-7659-4f43-89f5-8589d2036930,King-size Bed,Bed
46,0076eaf7-105e-4df1-b6d0-d0d5fd15f576,Three-Seat / Multi-seat Sofa,Sofa
47,00775a07-b5c9-4020-94c7-2cd698d668f6,Dining Chair,Chair
48,00777e3d-1a47-4193-ad13-43e8881ca6b8,King-size Bed,Bed
49,007a52b4-27db-4430-b754-4fc5f254e917,Dressing Table,Table
50,007d0585-9b54-4918-87f0-38da23ddecd2,armchair,Sofa
51,008302cb-ff00-4f22-b076-044493a051a2,Coffee Table,Cabinet/Shelf/Desk
52,00859a4c-8945-4665-92e5-69ab8fba6593,Three-Seat / Multi-seat Sofa,Sofa
53,00883cfc-9ec8-4494-bc40-6c768d4ed9d9,Dining Chair,Chair
54,008d88ef-c902-45e7-ab69-803b223779b9,Pendant Lamp,Lighting
55,008f2d76-72df-4595-ada4-a653b68a18c4,Floor Lamp,Lighting
56,0090501f-8484-44b8-9f53-9f6ecbbe73a4,armchair,Sofa
57,009070c8-1246-4d65-8133-27cde12e274e,TV Stand,Cabinet/Shelf/Desk
58,009ac457-0558-494c-bffa-72c4c0960649,Coffee Table,Cabinet/Shelf/Desk
59,009dc710-856c-4d59-b6bf-38a32a6241b5,King-size Bed,Bed
60,00a91a81-fc73-4625-8298-06ecd55b6aaa,Lounge Chair / Cafe Chair / Office Chair,Chair
61,00ac04ff-59b1-40f1-a95a-f1f6e61a6de6,King-size Bed,Bed
62,00acb313-c507-4372-addf-508755c6e98b,King-size Bed,Bed
63,00b8fe1c-2ba0-4a25-a7d8-44e278cd9f7d,Three-Seat / Multi-seat Sofa,Sofa
64,00bba3f0-b5f2-45b7-babe-662832bab6b0,Ceiling Lamp,Lighting
65,00c0cffb-dcf2-4a2d-86d0-9d4072d5f449,Loveseat Sofa,Sofa
66,00c0ed18-9131-41f1-976e-52a8be0a0a21,Wardrobe,Cabinet/Shelf/Desk
67,00c43d91-9332-434c-8170-1ad77f5f2051,Coffee Table,Cabinet/Shelf/Desk
68,00c90f7e-2b91-44e7-86f0-0fa00268e63b,Loveseat Sofa,Sofa
69,00c9b87e-defe-4f6e-91a9-e7e21a4e6497,Wine Cabinet,Cabinet/Shelf/Desk
70,00ca8dc6-a866-4645-a349-5d64b571ba2c,,Others
71,00cb55ad-9b15-4263-82a9-0016b00dbcfa,,Others
72,00ceae85-1f3b-471d-87ab-60672115b82f,Pendant Lamp,Lighting
73,00d18dbc-beee-44a4-bc5c-5f9f5c51bba8,Sideboard / Side Cabinet / Console,Cabinet/Shelf/Desk
74,00d3bb54-cfd7-4a09-99c9-611fbd3e96cb,Pendant Lamp,Lighting
75,00d778e1-69ff-4165-b026-ba56d74b46ac,L-shaped Sofa,Sofa
76,00d8b27e-4e05-47a8-b191-519aaed28575,Three-Seat / Multi-seat Sofa,Sofa
77,00d8b611-0950-4bf4-8087-89d472c9aa9f,armchair,Sofa
78,00da6e71-e633-480c-9102-5e1f5423cf5d,Pendant Lamp,Lighting
79,00dd3e56-a852-43fe-b5e1-b9ba98772755,Wine Cabinet,Cabinet/Shelf/Desk
80,00e0d0a7-762f-414d-8222-33363337ab5d,Pendant Lamp,Lighting
81,00e2173a-9048-3ee9-b02c-86fb88b14ad4,L-shaped Sofa,Sofa
82,00e371c6-da47-429e-b0cd-2ba243912ee8,L-shaped Sofa,Sofa
83,00e4b7dd-08a6-4433-a439-856e4b5de58a,,Others
84,00e7d768-e295-4fbe-8f34-b193f66c98b7,,Others
85,00e8f74b-58dc-4967-92f0-2829900f9e49,,Others
86,00ea37e5-e81f-42ec-a339-69d5f5ecb10f,Sideboard / Side Cabinet / Console,Cabinet/Shelf/Desk
87,00ead034-61fb-4c99-abe3-f4180acdb575,Shelf,Cabinet/Shelf/Desk
88,00ec4eee-6cb2-415b-ab42-23b92e077cb6,Pendant Lamp,Lighting
89,00f5aa82-1cc6-4049-96fd-903492344e38,Ceiling Lamp,Lighting
90,00f6e325-269e-42d9-a377-e7a4b041490a,Corner/Side Table,Cabinet/Shelf/Desk
91,00f8a72c-50ff-432e-89ef-66601a0ff073,Corner/Side Table,Cabinet/Shelf/Desk
92,00fbb26f-13cf-4916-a8b0-f6241482abb4,Loveseat Sofa,Sofa
93,00fe956b-131d-40fb-a3e3-483a9f157a40,Bookcase / jewelry Armoire,Cabinet/Shelf/Desk
94,01005129-1184-48a3-9aa3-aa6d83793a0a,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
95,010ba52b-1ce5-42a8-ac1e-d72b0b76e219,Floor Lamp,Lighting
96,01112e86-0c65-4693-a531-e57dfd08aaf8,Three-Seat / Multi-seat Sofa,Sofa
97,0115036f-8abc-4cc5-99a3-d8607500d213,Kids Bed,Bed
98,011741b3-f906-4884-8daf-da72ec809d5e,Three-Seat / Multi-seat Sofa,Sofa
99,0118e76e-26d6-402b-8d37-6aa00b1138c8,Pendant Lamp,Lighting
100,011a0370-fe70-404e-b61c-15057a3a98c5,Wardrobe,Cabinet/Shelf/Desk
101,011afb7f-28ef-4e7c-8f93-bd30ce993dd6,Lounge Chair / Book-chair / Computer Chair,Chair
102,011b01ee-dd87-451d-96a4-d4b8b1af5a3d,Corner/Side Table,Cabinet/Shelf/Desk
103,01244633-0eab-43c7-af22-aab45596262c,Dining Table,Table
104,0125c477-4efc-3cbc-8422-0f80b7de9eb0,Dining Table,Table
105,012679e2-1597-4fc0-93e0-62206617fb31,Wardrobe,Cabinet/Shelf/Desk
106,01272df2-2132-4e1a-a2cf-8978fac5949e,,Others
107,0128706c-a595-405b-a9ce-47d89847bf28,Floor Lamp,Lighting
108,012ce7a5-9c00-4af2-b293-cb54c42cfe80,Sideboard / Side Cabinet / Console Table,Cabinet/Shelf/Desk
