id,front,nmaterials,minPoint,maxPoint,aligned.dims,index
00030133-9c36-412d-bb48-6123ea2da899,"0, 0, 1",0,"-13.283,0.,-13.283",",13.283,190.1016,13.283",",2656.6,19010.16,2656.6",0
00033fdb-e9f8-4abe-aa9b-878761356d35,"0, 0, 1",0,"-3.82151e-01,-1.00000e-06,-4.13355e-01","0.382219,0.995259,0.413329","76.437,99.526,82.6684",1
0004ae9a-1d27-4dbd-8416-879e9de1de8d,"0, 0, 1",0,"-2.66886e-01,5.00000e-05,-2.21655e-01","0.267034,0.468969,0.221589","53.392,46.8919,44.3244",2
0004dd3f-fcd0-4401-b143-7bdbcdc5775a,"0, 0, 1",0,"-29.5385,0.,-30.4205","29.5385,84.9152,30.4205","5907.7,8491.52,6084.1",3
00050a71-6a99-31ff-a778-4dbeddf50586,"0, 0, 1",0,"-0.68131,-0.003777,-0.330263","0.681309,2.339509,0.330263","136.2619,234.3286,66.0526",4
00063df5-b7d7-42af-a11c-ac8a690272fd,"0, 0, 1",0,"-0.411371,-0.000636,-0.411557","0.411476,0.763375,0.411394","82.2847,76.4011,82.2951",5
000ffb60-6414-41b2-80cc-e38879db8fe8,"0, 0, 1",0,"-1.148942,0.,-0.5028","1.148942,0.898249,0.502049","229.7884,89.8249,100.4849",6
001663c3-d459-4fbc-8563-89592fd21d18,"0, 0, 1",0,"-1.41825,-0.,-0.512305","1.41844,0.630588,0.510759","283.669,63.0588,102.3064",7
001dcec1-201e-446c-91d1-d349be1a42f3,"0, 0, 1",0,"-0.161879,-0.,-0.158139","0.161879,0.812978,0.158139","32.3758,81.2978,31.6278",8
00221545-8e2c-4266-bb42-f08c4e8d2382,"0, 0, 1",0,"-0.35,0.,-0.35","0.35,0.120728,0.35","70.,12.0728,70.",9
002740ba-6fca-4258-b631-cf031c2adbdc,"0, 0, 1",0,"-0.599907,0.,-0.599907","0.599907,0.745722,0.599907","119.9814,74.5722,119.9814",10
002784db-9a83-4cdb-a842-5f141675103b,"0, 0, 1",0,"-47.5617,0.,-1.4732",",47.5617,135.2172,1.4732",",9512.34,13521.72,294.64",11
00289456-13dd-4742-bdbc-b22758005a2f,"0, 0, 1",0,"-1.01752e+00,5.00000e-06,-3.95696e-01","1.01759,0.782007,0.395722","203.511,78.2002,79.1418",12
002a0c8e-8a56-4b38-a6c8-75c339d48f46,"0, 0, 1",0,"-0.765342,0.,-0.548453","0.765342,0.479159,0.548453","153.0684,47.9159,109.6906",13
002c9b8e-f05e-4ecd-8d35-0e5a4b1a0ad4,"0, 0, 1",0,"-1.47851e+00,-3.61000e-04,-4.90420e-01","1.47789,0.889453,0.490582","295.64,88.9814,98.1002",14
002cd3a1-78b2-4a2e-aa01-5947dbe994f8,"0, 0, 1",0,"-0.340213,0.,-0.393418","0.340213,1.042914,0.393418",",68.0426,104.2914,78.6836",15
002ef622-24b5-418f-861a-9fab48ab9c33,"0, 0, 1",0,"-4.44734e+01,-2.95105e-03,-3.96234e+01","44.5247,79.8372,39.5787","8899.81,7984.015105,7920.21",16
00334c6e-72f8-4fb6-9e11-ab011bf6c3a7,"0, 0, 1",0,"-1.098694e+00,2.080000e-04,-4.477580e-01","1.098694,0.779538,0.448544","219.7388,77.933,89.6302",17
0033e020-460c-4990-a2d2-cfe223a2f5a0,"0, 0, 1",0,"-0.300294,0.,-0.240571","0.300293,0.97,0.240681","60.0587,97.,48.1252",18
0034935b-20a0-45e6-b2a5-9bff89a94198,"0, 0, 1",0,"-1.240697,0.,-0.399191","1.240275,0.817842,0.398779","248.0972,81.7842,79.797",19
003573d9-a6ae-4bdb-a01f-156040f08048,"0, 0, 1",0,"-1.041922,-0.,-1.492797","1.04221,0.907451,1.492799","208.4132,90.7451,298.5596",20
003873a6-59d0-4a94-afd9-129195b2644b,"0, 0, 1",0,"-9.5339,0.,-6.596",",9.5339,19.4159,6.596","1906.78,1941.59,1319.2",21
003a85cc-1a58-4b93-8b5c-11ad960aded5,"0, 0, 1",0,"-4.87902e-01,7.10000e-05,-4.46113e-01","0.488658,1.071346,0.446706",",97.656,107.1275,89.2819",22
003b19cc-fd43-4995-9e19-1ac41f84e83e,"0, 0, 1",0,"-1.12107,0.,-0.305595","1.12107,2.26035,0.305596","224.214,226.035,61.1191",23
003eea79-6ec0-4731-b5fb-acc09dc59898,"0, 0, 1",0,"-1.10927e+00,-2.71000e-04,-1.08320e+00","1.10927,1.29338,1.08306","221.854,129.3651,216.626",24
0044a119-6a8b-4ff1-8a7d-201310de42a7,"0, 0, 1",0,"-21.899,0.,-21.7276","21.899,15.8031,21.7276","4379.8,1580.31,4345.52",25
004a97c2-124f-4dd2-97da-900af7ad6ca8,"0, 0, 1",0,"-5.97634e-01,-1.60000e-05,-4.90042e-01","0.597599,0.766862,0.489711","119.5233,76.6878,97.9753",26
